user_id,status_id,created_at,screen_name,text,source,display_text_width,favorite_count,retweet_count,hashtags
x732164717460889600,x1247499385484668928,2020-04-07 12:20:05,eashwervenkat19,"Just Now Finished 4 Episodes in season 1 <U+0001F525><U+0001F525> Racy screenplay <U+0001F525><U+0001F525> So far So Good. Not Even A Milli sec of dull scenes <U+0001F44C><U+0001F44C><U+0001F525> 

#MoneyHeist #LaCasaDePapel",Twitter for Android,147,1,0,MoneyHeist LaCasaDePapel
x732164717460889600,x1247501540304105475,2020-04-07 12:28:39,eashwervenkat19,"Episode 5 <U+0001F449> Lets Go...<U+0001F525><U+0001F44B> 
#MoneyHeist #LaCasaDePapel",Twitter for Android,52,1,0,MoneyHeist LaCasaDePapel
x269164295,x1246327139856789505,2020-04-04 06:42:00,TANK_RAIDER,"Me after watching whole season in a day and now waiting for season 5
#MoneyHeist4 #LaCasaDePapel  #Moneyheistseason4 https://t.co/SducwoTXcW",Twitter for Android,116,0,0,MoneyHeist4 LaCasaDePapel Moneyheistseason4
x269164295,x1246326379626594305,2020-04-04 06:38:59,TANK_RAIDER,"The image you can hear
#LaCasaDePapel #MoneyHeist4 #Moneyheistseason4 https://t.co/2xK4SL0zWf",Twitter for Android,69,0,0,LaCasaDePapel MoneyHeist4 Moneyheistseason4
x269164295,x1246323794425364482,2020-04-04 06:28:42,TANK_RAIDER,"Season 5 for Nairobi
#MoneyHeist4 #LaCasaDePapel #Moneyheistseason4 #<U+0627><U+0644><U+0628><U+0631><U+0648><U+0641><U+064A><U+0633><U+0648><U+0631> https://t.co/qNbtFAKcGG",Twitter for Android,79,1,0,MoneyHeist4 LaCasaDePapel Moneyheistseason4 <U+0627><U+0644><U+0628><U+0631><U+0648><U+0641><U+064A><U+0633><U+0648><U+0631>
x334639957,x1247440160196669440,2020-04-07 08:24:45,Batwaynne,Done with season 2 of #LaCasaDePapel <U+2665><U+FE0F> such magnificent making <U+0001F632>,Twitter for Android,65,1,0,LaCasaDePapel
x334639957,x1246512368483315712,2020-04-04 18:58:02,Batwaynne,Denver's laugh <U+0001F602><U+0001F602> #MoneyHeist #LaCasaDePapel,Twitter for Android,44,0,0,MoneyHeist LaCasaDePapel
x1112335358019010560,x1246801816232161280,2020-04-05 14:08:12,_tipsytalk,Palermo and Tokyo can go to hell and fight each other until eternity. #MoneyHeist #LaCasaDePapel,Twitter for iPhone,96,0,0,MoneyHeist LaCasaDePapel
x825479720087207936,x1247468993503473664,2020-04-07 10:19:19,dnfhdfbh,I've just watched episode S04E02 of Money Heist! #lacasadepapel #tvtime https://t.co/nDpz9f9pGA https://t.co/e3qsd00tsN,"TV Time, TV show tracker",95,0,0,lacasadepapel tvtime
x825479720087207936,x1247432468623482880,2020-04-07 07:54:11,dnfhdfbh,I've just watched episode S04E01 of Money Heist! #lacasadepapel #tvtime https://t.co/NNfFWoUFgA https://t.co/t2fYQr4DkL,"TV Time, TV show tracker",95,0,0,lacasadepapel tvtime
x1163349607277088768,x1247764320244477956,2020-04-08 05:52:50,thugiver,I've just watched episode S04E04 of Money Heist! #lacasadepapel  #tvtime https://t.co/gnHB31po1o https://t.co/AoDGZ0TRwd,"TV Time, TV show tracker",96,1,0,lacasadepapel tvtime
x1163349607277088768,x1247622243879923713,2020-04-07 20:28:17,thugiver,I've just watched episode S04E03 of Money Heist! #lacasadepapel  #tvtime https://t.co/nKjGgUivc9 https://t.co/pcaEEWILfS,"TV Time, TV show tracker",96,0,0,lacasadepapel tvtime
x1163349607277088768,x1247611795906363392,2020-04-07 19:46:46,thugiver,I've just watched episode S04E02 of Money Heist! #lacasadepapel  #tvtime https://t.co/BoUNaP81we https://t.co/DSTDQ4oBHj,"TV Time, TV show tracker",96,0,0,lacasadepapel tvtime
x37802383,x1246782614767353856,2020-04-05 12:51:54,_Divine03,I've just watched episode S04E01 of Money Heist! #lacasadepapel #tvtime https://t.co/iYWju8qOOY,"TV Time, TV show tracker",95,0,0,lacasadepapel tvtime
x906198588744753153,x1247831833766539264,2020-04-08 10:21:07,ada_andic,My name at #LaCasaDePapel would be Vienna <U+0001F601><U+0001F601> https://t.co/8undK0t7Dl,Twitter for Android,44,9,0,LaCasaDePapel
x2805302353,x1246058899473461248,2020-04-03 12:56:06,FerventMaharaja,WHAT THE FUCK WAS THAT ENDING TO E3 S1 OF #LaCasaDePapel OMG,Twitter for Android,60,1,0,LaCasaDePapel
x2805302353,x1247848905208778752,2020-04-08 11:28:57,FerventMaharaja,BRUH The Professor from #LaCasaDePapel is SO SLICK.,Twitter for Android,51,1,0,LaCasaDePapel
x2805302353,x1247248955936669696,2020-04-06 19:44:58,FerventMaharaja,The scene from #LaCasaDePapel where the professor makes himself look disgusting in the junkyard to get away with stuff was pretty tense. I love this show,Twitter for Android,153,2,0,LaCasaDePapel
x2805302353,x1245827903138353152,2020-04-02 21:38:13,FerventMaharaja,Just started watching the #LaCasaDePapel.,Twitter for Android,41,2,0,LaCasaDePapel
x2805302353,x1246002090075230208,2020-04-03 09:10:22,FerventMaharaja,"Seeing Christian, Nano and Marina together in #LaCasaDePapel is very fun.",Twitter for Android,73,1,0,LaCasaDePapel
x2805302353,x1246867336486744064,2020-04-05 18:28:33,FerventMaharaja,Okay..episode 7 season 1 and it's getting emotional in here. All the robbers are having mental breakdowns and shit. #LaCasaDePapel,Twitter for Android,130,1,0,LaCasaDePapel
x2805302353,x1246052853241667584,2020-04-03 12:32:05,FerventMaharaja,"Nano was kind of my favourite character in #Elite. 

And now Denver is my favourite character in #LaCasaDePapel.

I just really love Jaime Lorente. https://t.co/UufRv8CA5A",Twitter for Android,147,6,2,Elite LaCasaDePapel
x2805302353,x1246438617041358849,2020-04-04 14:04:58,FerventMaharaja,Episode 6 of #LaCasaDePapel season 1 rn.,Twitter for Android,40,0,0,LaCasaDePapel
x2805302353,x1245972787673444354,2020-04-03 07:13:56,FerventMaharaja,"I'm binging #MoneyHeist or #LaCasaDePapel season 1's at least 6 episodes today.

Can't wait to see Miguel Herran, Maria Pedraza, and Jaime Lorente!",Twitter for Android,147,2,0,MoneyHeist LaCasaDePapel
x2805302353,x1245988771084079105,2020-04-03 08:17:27,FerventMaharaja,First episode of #LaCasaDePapel finished. I love it.,Twitter for Android,52,2,0,LaCasaDePapel
x2805302353,x1246100312785448960,2020-04-03 15:40:40,FerventMaharaja,Nano gets put in the worst situations in all shows. I feel so sympathetic for him #LaCasaDePapel #Elite,Twitter for Android,103,1,0,LaCasaDePapel Elite
x319697540,x1246771985516036100,2020-04-05 12:09:39,anthomartiaI,I've just watched episode S04E03 of Money Heist! #lacasadepapel #tvtime https://t.co/qBxYEkxjQv,"TV Time, TV show tracker",95,0,0,lacasadepapel tvtime
x1092406617667235845,x1247467753411416067,2020-04-07 10:14:23,HiddlesSunshine,"They look at #ElProfesor actually cursing for no specific reason<U+0001F606>

 #LaCasaDePapel #LCDP4 https://t.co/G41NDmxz99",Twitter for Android,89,1,0,ElProfesor LaCasaDePapel LCDP4
x1092406617667235845,x1246536547094204417,2020-04-04 20:34:07,HiddlesSunshine,"#AlvaroMorte on IG<U+0001F60D><U+0001F60D><U+0001F60D>
#LaCasaDePapel #LCDP4 #LaCasaDePapel4 https://t.co/37A7qekZty",Twitter for Android,59,4,1,AlvaroMorte LaCasaDePapel LCDP4 LaCasaDePapel4
x1092406617667235845,x1248018054312644610,2020-04-08 22:41:05,HiddlesSunshine,"@lacasadepapel what do you think?<U+0001F440>

#LaCasaDePapel #LCDP4 #ElProfesor #AliciaSierra #theory #LCDP5 https://t.co/aDW5euxAnF",Twitter for Android,98,0,0,LaCasaDePapel LCDP4 ElProfesor AliciaSierra theory LCDP5
x1092406617667235845,x1246446354592907264,2020-04-04 14:35:43,HiddlesSunshine,"I remember when I didn't liked their relationship. But now.. I love and ship #serquel <U+2764>
#LaCasaDePapel #ElProfesor #raquel https://t.co/FwNiXgsVOj",Twitter for Android,122,8,2,serquel LaCasaDePapel ElProfesor raquel
x1092406617667235845,x1245611983979679747,2020-04-02 07:20:13,HiddlesSunshine,"Why it's not Friday already? I need it sooo mmuuucchhh! That much as I love them<U+0001F496><U+0001F496>
#LaCasaDePapel #LCDP4 #AlvaroMorte #itziarituño #ElProfesor #raquel https://t.co/MC37SzaxJc",Twitter for Android,150,9,1,LaCasaDePapel LCDP4 AlvaroMorte itziarituño ElProfesor raquel
x1092406617667235845,x1245742700965572615,2020-04-02 15:59:39,HiddlesSunshine,"Someone better check my pulse<U+0001F440><U+0001F602> Cause umm... I'm fucking hyped<U+0001F60D><U+0001F496>
#LaCasaDePapel #LCDP4 #AlvaroMorte #itziarituño #pedroalonso #ElProfesor #raquel #berlin https://t.co/W6PY9OfUG7",Twitter for Android,153,7,1,LaCasaDePapel LCDP4 AlvaroMorte itziarituño pedroalonso ElProfesor raquel berlin
x1092406617667235845,x1247617881707290625,2020-04-07 20:10:57,HiddlesSunshine,"Iconic<U+0001F44F><U+0001F44F><U+0001F923><U+0001F923><U+0001F923>
#AlvaroMorte #LaCasaDePapel #Bloopers https://t.co/pe9Lwbi70L",Twitter for Android,49,1,0,AlvaroMorte LaCasaDePapel Bloopers
x1092406617667235845,x1246903799547076610,2020-04-05 20:53:26,HiddlesSunshine,My #LaCasaDePapel addiction <U+0001F440> (thread) https://t.co/K9TOEMQeVT,Twitter for Android,38,2,0,LaCasaDePapel
x1092406617667235845,x1246735908138897408,2020-04-05 09:46:18,HiddlesSunshine,"Me rewatching #LaCasaDePapel as many times as I can, because I can't believe in what the fuck happened there.. https://t.co/9T887QmJXW",Twitter for Android,110,2,0,LaCasaDePapel
x3435353293,x1246861760017006593,2020-04-05 18:06:23,SKahadane,"@lacasadepapel That ending though... Damnnnnnn!!!!!!!! <U+0001F525><U+0001F525><U+0001F525>

Professor!! <U+0001F64C>

#LaCasaDePapel #LaCasaDePapel4 #MoneyHeist #MoneyHeistPart4 #MoneyHeist5",Twitter for Android,132,10,0,LaCasaDePapel LaCasaDePapel4 MoneyHeist MoneyHeistPart4 MoneyHeist5
x3435353293,x1246821429259014149,2020-04-05 15:26:08,SKahadane,"She is reunited with others!

#MoneyHeist4 #LaCasaDePapel #LaCasaDePapel4 #MoneyHeist",Twitter for Android,85,0,0,MoneyHeist4 LaCasaDePapel LaCasaDePapel4 MoneyHeist
x3435353293,x1246859472166744064,2020-04-05 17:57:18,SKahadane,"That ending though... Damnnnnnn!!!!!!!! <U+0001F525><U+0001F525><U+0001F525>

Professor!! <U+0001F64C>

#LaCasaDePapel #LaCasaDePapel4 #MoneyHeist #MoneyHeistPart4 #MoneyHeist5",Twitter for Android,132,0,0,LaCasaDePapel LaCasaDePapel4 MoneyHeist MoneyHeistPart4 MoneyHeist5
