user_id,status_id,created_at,screen_name,text,source,display_text_width,favorite_count,retweet_count,hashtags
x1141596736642789376,x1246553099684270082,2020-04-04 21:39:53,anita_dolcevita,"Ho finito la casa di carta.....
E niente....
 #LaCasaDePapel https://t.co/AzUrEDGnMY",Twitter for iPhone,60,2,0,LaCasaDePapel
x952267423,x1246533088290758657,2020-04-04 20:20:22,xfunnyvalentine,Comunque è inaccettabile che #LaCasaDePapel continui a fare fuori i personaggi migliori. La serie non sarà più la stessa senza di LEI <U+0001F494>,Twitter for Android,135,6,0,LaCasaDePapel
x47882479,x1246763651849125888,2020-04-05 11:36:33,gameop,Ho appena visto l'episodio S03E05 di Money Heist!  #lacasadepapel #tvtime https://t.co/l2DUvHXtpg https://t.co/RVoYtnpdnB,"TV Time, TV show tracker",97,0,0,lacasadepapel tvtime
x221128143,x1246902820147781632,2020-04-05 20:49:33,carlowonderland,Ho visto l’episodio S04E02 di Money Heist! #lacasadepapel  #tvtime https://t.co/RjJvKd9Etl https://t.co/9tJVjj3Cod,"TV Time, TV show tracker",90,0,0,lacasadepapel tvtime
x221128143,x1246896024842571776,2020-04-05 20:22:33,carlowonderland,Ho visto l’episodio S04E01 di Money Heist! #lacasadepapel  #tvtime https://t.co/rFUZaBgmNB https://t.co/pxjoEsBgzw,"TV Time, TV show tracker",90,0,0,lacasadepapel tvtime
x221128143,x1247621801800339456,2020-04-07 20:26:31,carlowonderland,Ho visto l’episodio S04E06 di Money Heist! #lacasadepapel  #tvtime https://t.co/6TZ5QTjtpm https://t.co/Dq0BUxJEVy,"TV Time, TV show tracker",90,0,0,lacasadepapel tvtime
x221128143,x1247256845682696198,2020-04-06 20:16:19,carlowonderland,Ho visto l’episodio S04E04 di Money Heist! #lacasadepapel  #tvtime https://t.co/cwpwrrjG8A https://t.co/XqRucYU2tQ,"TV Time, TV show tracker",90,0,0,lacasadepapel tvtime
x448039558,x1246374918176018432,2020-04-04 09:51:51,meisterVengenz,"Già non ho voglia di guardarlo poi fate tutti spoiler, maledetti essere umani. #LaCasaDePapel",Twitter for Android,93,0,0,LaCasaDePapel
x1019150603472125952,x1247874408552660993,2020-04-08 13:10:18,MarysAdventure5,Ecco perché non mi ci raccapezzavo. La stagione 3 mica l'avevo vista ancora #LaCasaDePapel,Twitter for Android,90,0,0,LaCasaDePapel
x132963251,x1248017773168484354,2020-04-08 22:39:58,FedeUgolotti,Mi piace Palermo al comando ma il migliore era lui <U+0001F4AA><U+0001F3FB><U+0001F970> #LaCasaDePapel3 #LaCasadicarta #LaCasaDePapel https://t.co/EsQSIHIto6,Twitter for iPhone,100,1,0,LaCasaDePapel3 LaCasadicarta LaCasaDePapel
x72254436,x1248014605487443968,2020-04-08 22:27:23,TheSuperMarlo,Bella ciao #laputaama #lacasadepapel @ Carnevale Di Venezia https://t.co/rEv7xYjmCz,Instagram,83,0,0,laputaama lacasadepapel
x2410781903,x1248014194105921538,2020-04-08 22:25:45,kamy_gu,"Ho ufficialmente finito la casa di carta e questa stagione è stata davvero una figata assurda <U+0001F60D> 
Ma la domanda ora è: come faccio ad aspettare fino ad autunno 2021 senza sapere come continua?!?! <U+0001F631><U+0001F62D> #LaCasaDePapel",Twitter for iPhone,212,1,1,LaCasaDePapel
x2410781903,x1248009452579467265,2020-04-08 22:06:55,kamy_gu,Nella casa di carta che citano Harry Potter perché anche i criminali fanno parte del fandom <U+0001F602><U+0001F602><U+0001F602> #LaCasaDePapel #HarryPotter,Twitter for iPhone,123,1,1,LaCasaDePapel HarryPotter
x2410781903,x1248000247462334466,2020-04-08 21:30:20,kamy_gu,E poi ci sono gli ostaggi che hanno più paura di Arturo con il mitra che dei criminali <U+0001F648> beh effettivamente cretino com’è anche io sarei terrorizzata a vederlo maneggiare un mitra <U+0001F602><U+0001F648> #LaCasaDePapel,Twitter for iPhone,197,0,0,LaCasaDePapel
x2410781903,x1247997073368244224,2020-04-08 21:17:43,kamy_gu,Cioè quindi ora Tamaio si sta impegnando di più per arrestare Alicia che per la rapina e gli ostaggi <U+0001F602><U+0001F648> certo che con cretini del genere per il Professore è troppo facile <U+0001F602> #LaCasaDePapel,Twitter for iPhone,187,0,0,LaCasaDePapel
