tv,Attore
"La casa di carta (La casa de papel) â€“ serie TV, 22 episodi (2017)",Maria Pedraza
" Si fueras tÃº â€“ miniserie TV, 8 episodi (2017)",Maria Pedraza
" Ã‰lite â€“ serie TV, 8 episodi (2018)",Maria Pedraza
" Toy Boy â€“ serie TV, 13 episodi (2019)",Maria Pedraza
La que se avecina - 1 episodio (2012),Clara Alvarado
 La casa di carta (la casa de papel) (2017-),Clara Alvarado
" Lana, fashion blogger (Yo quisiera) - 38 episodi (2015-2018)",Clara Alvarado
 Una vita (Acacias 38) - 10 episodi (2017),Clara Alvarado
 CuÃ©ntame cÃ³mo pasÃ³ - 4 episodi (2011),Clara Alvarado
"Il tempo del coraggio e dell'amore (El tiempo entre costuras) - Serie TV, episodio 1x02 (2013)",Enrique Arce
" La casa di carta (La casa de papel) - Serie TV, 28 episodi (2017-in corso)",Enrique Arce
" Knightfall - Serie TV, 5 episodi (2017-2018)",Enrique Arce
"Il sospetto (Bajo sospecha) â€“ serie TV, 8 episodi (2014-2015)",Pedro Alonso
" Maridos e mulleres â€“ serie TV, 23 episodi (2006-2008)",Pedro Alonso
" Gran Hotel â€“ serie TV, 39 episodi (2011-2013)",Pedro Alonso
" El Ministerio del Tiempo â€“ serie TV, episodi 2x7-2x8 (2016)",Pedro Alonso
" Gondar â€“ serie TV, 22 episodi (2009)",Pedro Alonso
 RÃ­as Baixas - serie TV (2000),Pedro Alonso
" Hospital Real â€“ serie TV, 15 episodi (2015)",Pedro Alonso
" R.I.S. CientÃ­fica â€“ serie TV, episodi 1x6 (2007)",Pedro Alonso
" TraiciÃ³n â€“ serie TV, 9 episodi (2017-2018)",Pedro Alonso
" La bella Otero - La regina della belle Ã©poque - mini serie TV, episodio 1x1 (2008)",Pedro Alonso
" Padre Casares â€“ TV serie, 136 episodi (2008-2015)",Pedro Alonso
" El comisario â€“ serie TV, episodi 5x9 (2002)",Pedro Alonso
" As leis de Celavella - serie TV, episodio 3x20 (2005)",Pedro Alonso
" CÃ³digo fuego â€“ serie TV, 6 episodi (2003)",Pedro Alonso
 Plaza Alta - serie TV (1998),Pedro Alonso
" La casa di carta (La casa de papel) â€“ serie TV, 31 episodi (2017 - in corso)",Pedro Alonso
" 14 de abril. La RepÃºblica â€“ serie TV, episodi 1x7-1x8 (2011)",Pedro Alonso
" Hospital Central â€“ serie TV, episodi 10x1 (2005)",Pedro Alonso
" A vida por diante â€“ serie TV, episodi 2x4 (2006)",Pedro Alonso
" Â¡QuÃ© grande es el teatro! - serie TV, 1 episodio (2000)",Pedro Alonso
" Raquel busca su sitio â€“ serie TV, episodi 1x3 (2000)",Pedro Alonso
" A las once en casa â€“ serie TV, 28 episodi (1998)",Pedro Alonso
" L'ambasciata (La embajada) â€“ serie TV, 11 episodi (2016)",Pedro Alonso
" Pequeno hotel - serie TV,  (2001)",Pedro Alonso
" Todos los hombres sois iguales â€“ serie TV, 5 episodi (1997)",Pedro Alonso
Snatch,Hovic Keuchkeiran
 La casa di carta,Hovic Keuchkeiran
 The Night Manager,Hovic Keuchkeiran
" Hispania, la leyenda",Hovic Keuchkeiran
 Isabel,Hovic Keuchkeiran
 El ministerio del tiempo,Hovic Keuchkeiran
"El Cid - serie TV, (2020)",Jaime Lorente
" Ã‰lite - serie TV, (2018-2019)",Jaime Lorente
" Il segreto - serie TV, 27 episodi (2016)",Jaime Lorente
" La casa di carta - serie TV, 31 episodi (2017-in corso)",Jaime Lorente
Â¿PorquÃ© No? - miniserie TV (2020),Kiti Manver
 La otra mirada - sitcom (2018-2019),Kiti Manver
 Le ragazze del centralino (Las chicas del cable) - serie TV (2017-in corso),Kiti Manver
" Velvet - serie TV, 12 episodi (2019)",Kiti Manver
" Gran Hotel - serie TV, 1 episodio (2011)",Kiti Manver
" La casa di carta (La casa de papel) - serie TV, 23 episodi (2017-in corso)",Kiti Manver
"La casa di carta (La casa de papel) â€“ serie TV, 31 episodi (2017-in corso)",Darko Peric
Goenkale (2008-2015),Itziar Ituno
 Kilker Dema (2002),Itziar Ituno
" La casa di carta (La casa de papel) - serie TV, 31 episodi (2017-in corso)",Itziar Ituno
" Agur Olentzero, agur - film TV (1997)",Itziar Ituno
 Teilatupean (2000-2001),Itziar Ituno
 Platos sucios (2002),Itziar Ituno
 Pulsaciones (2017),Itziar Ituno
 Ander eta konpainia (2000),Itziar Ituno
 CuÃ©ntame cÃ³mo pasÃ³ - serie TV (2016),Itziar Ituno
Vis a Vis (2015),Belen Cuesta
" La casa di carta - Serie TV, 6 episodi (2020-in corso)",Belen Cuesta
 Paquita Salas (2016-in corso),Belen Cuesta
"La casa di carta (La casa de papel) - serie TV, 11 episodi (2019-in corso)",Luka Peros
"La casa di carta (La casa de papel) - serie TV, 23 episodi (2017-2018)",Paco Tous
"CuÃ©ntame cÃ³mo pasÃ³ â€“ serie TV, 1 episodio (2014)",Alba Flores
" El sÃ­ndrome de Ulises â€“ serie TV, 1 episodio (2008)",Alba Flores
" Il tempo del coraggio e dell'amore (El tiempo entre costuras) â€“ serie TV, 7 episodi (2013)",Alba Flores
" La casa di carta (La casa de papel) â€“ serie TV, 31 episodi (2017-2020)",Alba Flores
" Vincent Ferrer, regia di AgustÃ­n Crespi â€“ film TV (2013)",Alba Flores
" Vis a vis - Il prezzo del riscatto (Vis a vis) â€“ serie TV, 40 episodi (2015-2019)",Alba Flores
" Vis a vis - L'Oasis (Vis a vis: El oasis) â€“ serie TV, episodio 1x8 (2020)",Alba Flores
" El Comisario â€“ serie TV, 1 episodio (2006)",Alba Flores
Cybersix - serie TV (1995-1996),Rodrigo de la Serna
 Lo que el tiempo nos dejÃ³ - miniserie TV (2010),Rodrigo de la Serna
 Tiempo final - serie TV (2001-2002),Rodrigo de la Serna
 Okupas - serie TV (2000),Rodrigo de la Serna
" La casa di carta, 16 episodi (2019-in corso)",Rodrigo de la Serna
 El puntero - serie TV (2011),Rodrigo de la Serna
 Sol negro - serie TV (2003),Rodrigo de la Serna
 Vulnerables - serie TV (1999),Rodrigo de la Serna
" Un cortado, historias de cafÃ© - serie TV (2004)",Rodrigo de la Serna
 Botines - miniserie TV (2005),Rodrigo de la Serna
 Hermanos y detectives - serie TV (2006),Rodrigo de la Serna
 Calientes - sitcom (2000),Rodrigo de la Serna
 Tiempos compulsivos - miniserie TV (2012),Rodrigo de la Serna
El Rey (2014),Juan Fernandez
 Diario de un skin (2005),Juan Fernandez
" PolicÃ­as, en el corazÃ³n de la calle (2001)",Juan Fernandez
 La sopa boba (2004),Juan Fernandez
 Los exitosos Pells (2009),Juan Fernandez
 7 dÃ­as al desnudo (2006),Juan Fernandez
 Matrimonio con hijos (2006),Juan Fernandez
 Cazadores de hombres (2008),Juan Fernandez
 Un lugar en el mundo (2003),Juan Fernandez
 La casa di carta (La casa de papel) (2017),Juan Fernandez
 Los Serrano (2004),Juan Fernandez
 Padre Coraje (2002),Juan Fernandez
 Periodistas (2000),Juan Fernandez
 Los hombres de Paco (2007),Juan Fernandez
 VÃ­ctor Ros (2014-2016),Juan Fernandez
 El MarquÃ©s de Sotoancho (2000),Juan Fernandez
 RIS CientÃ­fica (2007),Juan Fernandez
 Los misterios de Laura (2009),Juan Fernandez
 Countdown (Cuenta atrÃ¡s) (2007),Juan Fernandez
 El asesino del parking (2006),Juan Fernandez
 El comisario (2006),Juan Fernandez
 Raquel busca su sitio (2000),Juan Fernandez
 Ã�guila Roja (2010),Juan Fernandez
 Herederos (2008),Juan Fernandez
 El final del camino (2017),Juan Fernandez
 Amare per sempre (Amar en tiempos revueltos) (2018),Juan Fernandez
 Hospital Central (2006),Juan Fernandez
 Tierra de Lobos - L'amore e il coraggio (Tierra de lobos) (2010-2014),Juan Fernandez
"AÃ­da â€“ serie TV, episodio 05x24 (2008)",Alvaro Morte
" Il molo rosso (El embarcadero) â€“ serie TV, 16 episodi (2019-2020)",Alvaro Morte
" La memoria del agua â€“ miniserie TV, episodi 1x1-1x2 (2012)",Alvaro Morte
" Hospital Central â€“ serie TV, episodi 03x04-04x07 (2002)",Alvaro Morte
" PolicÃ­as, en el corazÃ³n de la calle â€“ serie TV, episodi 6x06-6x07-6x08 (2002)",Alvaro Morte
" Il segreto (El secreto de Puente Viejo) â€“ serie TV, 92 episodi (2014-2017)",Alvaro Morte
" Cuore ribelle (Bandolera) â€“ serie TV, 14 episodi (2012-2013)",Alvaro Morte
" Â¡A ver si llego! â€“ serie TV, 6 episodi (2009)",Alvaro Morte
" CuÃ©ntame cÃ³mo pasÃ³ â€“ serie TV, 4 episodi (2009-2010)",Alvaro Morte
" VÃ­ctor Ros â€“ serie TV, episodio 1x1 (2014)",Alvaro Morte
" The Head â€“ serie TV, 6 episodi (2020)",Alvaro Morte
" Per sempre (Amar es para siempre) â€“ serie TV, 32 episodi (2014)",Alvaro Morte
" Bienvenidos al Lolita â€“ miniserie TV, 4 episodi (2014)",Alvaro Morte
 La casa di carta (La casa de papel) â€“ serie TV (2017-in corso),Alvaro Morte
" Isabel â€“ serie TV, episodio 1x02 (2012)",Alvaro Morte
" Il Principe - Un amore impossibile (El PrÃ­ncipe) â€“ serie TV, episodio 1x04 (2014)",Alvaro Morte
" Planta 25 â€“ serie TV, 65 episodi (2007-2008)",Alvaro Morte
" Las chicas de oro â€“ serie TV, episodio 1x12 (2010)",Alvaro Morte
"Ã‰lite, serie televisiva, 9 episodi  (2018-in corso)",Miguel Herran
" La casa di carta (La casa de papel), serie televisiva, 31 episodi (2017-in corso)",Miguel Herran
"Vis a vis - L'Oasis (Vis a vis: El oasis) â€“ serie TV, 8 episodi (2020)",Najwa Nimri
" Vis a vis - Il prezzo del riscatto (Vis a vis) â€“ serie TV, 40 episodi (2015-2019)",Najwa Nimri
 La casa di carta (La casa de papel) â€“ serie TV (2019-in corso),Najwa Nimri
"La casa di carta (La casa de papel) - Serie TV, 31 episodi (2017-in corso)",Esther Acebo
 Ãngel o Demonio,Esther Acebo
"VentdelplÃ  - serie TV, 7 episodi (2005-2006)",Ursula Corbero
" Cuenta atrÃ¡s - serie TV, episodio 1x10 (2007)",Ursula Corbero
 The Snatch - serie TV (2018),Ursula Corbero
" Fisica o chimica (FÃ­sica o QuÃ­mica) - serie TV, 70 episodi (2008-2011)",Ursula Corbero
 Los dÃ­as de gloria - miniserie TV (2011),Ursula Corbero
" El internado - serie TV, episodio 2x06 (2007)",Ursula Corbero
" Mirall trencat - serie TV, episodio 1x07 (2002)",Ursula Corbero
" 14 de abril. La RepÃºblica - serie TV, 13 episodi (2011)",Ursula Corbero
" La casa di carta (La casa de papel) - serie TV, 31 episodi (2017-in corso)",Ursula Corbero
 La dama velata - serie TV (2015),Ursula Corbero
" L'ambasciata (La embajada) - serie TV, 11 episodi (2016)",Ursula Corbero
" Anclados - serie TV, 8 episodi (2015)",Ursula Corbero
" Isabel - serie TV, 7 episodi (2014)",Ursula Corbero
2011-Morir en tre actes per un solo episodio,Miquel Garcia Borda
 2012-2013-Il Segreto nel ruolo di Roque Fresnedoso per oltre 200 episodi,Miquel Garcia Borda
 2004-Hospital Central nel ruolo di Bombero per 1 episodio,Miquel Garcia Borda
 1994-Poble Nou nel ruolo di Mateu,Miquel Garcia Borda
 2017 - La casa di carta,Miquel Garcia Borda
 1994-EstaciÃ³ d'enllaÃ§ per 2 episodi,Miquel Garcia Borda
 2011-14 d'abril. MaciÃ  contra Companys nel ruolo di Nicolau Battistini,Miquel Garcia Borda
 1995-Secrets de familia nel ruolo di Joan per 4 episodi,Miquel Garcia Borda
 2009-El cor de la ciutat nel ruolo di Marcel Navarro per oltre 100 episodi,Miquel Garcia Borda
 2008-La Ratjada,Miquel Garcia Borda
 2012-Toledo per un solo episodio,Miquel Garcia Borda
 2007-Vida de familia nel ruolo di Miquel,Miquel Garcia Borda
